ENCODINGIDENTIFIER,LOOKUPKEY,PRIMARYIDENTIFIER,SECONDARYIDENTIFIER,EPC,EPCLOCKCODE,ACCESSPASSWORD,ACCESSPASSWORDLOCKCODE,KILLPASSWORD,KILLPASSWORDLOCKCODE,USERMEMORY,USERMEMORYLOCKCODE,TIDMODE,MASKBITLENGTH
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A1A1B400443,Lock,8AF843B8,Lock,,PermaLock,004A2A1A,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A1B1B400443,Lock,0EC519A5,Lock,,PermaLock,004A2A1B,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A1C1B400443,Lock,C80A5B5E,Lock,,PermaLock,004A2A1C,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A1D1B400443,Lock,729C82F6,Lock,,PermaLock,004A2A1D,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A1E1B400443,Lock,7D89DD7E,Lock,,PermaLock,004A2A1E,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A1F1B400443,Lock,2BB511C5,Lock,,PermaLock,004A2A1F,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A201B400443,Lock,4761E595,Lock,,PermaLock,004A2A20,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A211B400443,Lock,A69D7174,Lock,,PermaLock,004A2A21,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A221B400443,Lock,CD4625E3,Lock,,PermaLock,004A2A22,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A231B400443,Lock,6C9CB11F,Lock,,PermaLock,004A2A23,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A241B400443,Lock,ECA27BC6,Lock,,PermaLock,004A2A24,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A251B400443,Lock,AC650BBD,Lock,,PermaLock,004A2A25,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A261B400443,Lock,00C22033,Lock,,PermaLock,004A2A26,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A271B400443,Lock,9427B9AE,Lock,,PermaLock,004A2A27,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,,0A48347A55F7A5C0004A2A281B400443,Lock,1044254,Lock,,PermaLock,004A2A28,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A291B400443,Lock,8E3ECD84,Lock,,PermaLock,004A2A29,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A2A1B400443,Lock,4B0E195E,Lock,,PermaLock,004A2A2A,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A2B1B400443,Lock,7C338F25,Lock,,PermaLock,004A2A2B,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A2C1B400443,Lock,4FED392E,Lock,,PermaLock,004A2A2C,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A2D1B400443,Lock,4C4A07ED,Lock,,PermaLock,004A2A2D,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A2E1B400443,Lock,4532CEE9,Lock,,PermaLock,004A2A2E,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A2F1B400443,Lock,2DDBFCF7,Lock,,PermaLock,004A2A2F,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A301B400443,Lock,760FA376,Lock,,PermaLock,004A2A30,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A311B400443,Lock,9F64FAA3,Lock,,PermaLock,004A2A31,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A321B400443,Lock,0A3E0BB0,Lock,,PermaLock,004A2A32,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A331B400443,Lock,12A795D4,Lock,,PermaLock,004A2A33,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A341B400443,Lock,9C84FC5A,Lock,,PermaLock,004A2A34,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A351B400443,Lock,75B407BD,Lock,,PermaLock,004A2A35,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A361B400443,Lock,0BE796CF,Lock,,PermaLock,004A2A36,Lock,FALSE,0
ZMD5,4507815074036 ,4507815074036 ,y,0A48347A55F7A5C0004A2A371B400443,Lock,00DEA829,Lock,,PermaLock,004A2A37,Lock,FALSE,0
